Unnamed__0,Value
2001-04-01,27.4538095238
2001-05-01,28.6104347826
2001-06-01,27.600952381
2001-07-01,26.4359090909
2001-08-01,27.467826087
2001-09-01,26.211
2001-10-01,22.2104347826
2001-11-01,19.5840909091
2001-12-01,19.3176190476
2002-01-01,19.6073913043
2002-02-01,20.7755
2002-03-01,24.5080952381
2002-04-01,26.2663636364
2002-05-01,27.0039130435
2002-06-01,25.521
2002-07-01,26.93
2002-08-01,28.3813636364
2002-09-01,29.6328571429
2002-10-01,28.8539130435
2002-11-01,26.3247619048
2002-12-01,29.5486363636
2003-01-01,32.9117391304
2003-02-01,35.915
2003-03-01,33.219047619
2003-04-01,28.3577272727
2003-05-01,28.2236363636
2003-06-01,30.7247619048
2003-07-01,30.7473913043
2003-08-01,31.5919047619
2003-09-01,28.4513636364
2003-10-01,30.3308695652
2003-11-01,30.9625
2003-12-01,32.2043478261
2004-01-01,34.1463636364
2004-02-01,34.722
2004-03-01,36.7608695652
2004-04-01,36.7190909091
2004-05-01,40.2728571429
2004-06-01,38.0413636364
2004-07-01,40.685
2004-08-01,44.9359090909
2004-09-01,45.8609090909
2004-10-01,53.1671428571
2004-11-01,48.5322727273
2004-12-01,43.2791304348
2005-01-01,46.9919047619
2005-02-01,47.9905
2005-03-01,54.0930434783
2005-04-01,53.0366666667
2005-05-01,49.9222727273
2005-06-01,56.3054545455
2005-07-01,58.7057142857
2005-08-01,64.9682608696
2005-09-01,65.6577272727
2005-10-01,62.3704761905
2005-11-01,58.3113636364
2005-12-01,59.3663636364
2006-01-01,65.2327272727
2006-02-01,61.544
2006-03-01,62.8995652174
2006-04-01,69.6735
2006-05-01,70.9591304348
2006-06-01,70.9577272727
2006-07-01,74.3614285714
2006-08-01,73.0486956522
2006-09-01,64.119047619
2006-10-01,58.8781818182
2006-11-01,59.2890909091
2006-12-01,62.0285714286
2007-01-01,54.78
2007-02-01,59.2695
2007-03-01,60.5640909091
2007-04-01,63.9747619048
2007-05-01,63.5134782609
2007-06-01,67.4785714286
2007-07-01,74.0463636364
2007-08-01,72.392173913
2007-09-01,79.633
2007-10-01,85.9265217391
2007-11-01,94.7663636364
2007-12-01,91.7747619048
2008-01-01,92.9826086957
2008-02-01,95.3614285714
2008-03-01,105.5038095238
2008-04-01,112.3363636364
2008-05-01,125.6713636364
2008-06-01,133.9280952381
2008-07-01,133.9582608696
2008-08-01,116.6971428571
2008-09-01,104.4436363636
2008-10-01,76.2839130435
2008-11-01,56.968
2008-12-01,40.6443478261
2009-01-01,41.6309090909
2009-02-01,39.0785
2009-03-01,47.98
2009-04-01,49.9059090909
2009-05-01,59.2571428571
2009-06-01,69.6722727273
2009-07-01,64.2086956522
2009-08-01,71.0642857143
2009-09-01,69.3977272727
2009-10-01,75.8236363636
2009-11-01,77.9723809524
2009-12-01,74.6256521739
2010-01-01,78.4185714286
2010-02-01,76.308
2010-03-01,81.242173913
2010-04-01,84.4977272727
2010-05-01,73.8423809524
2010-06-01,75.3490909091
2010-07-01,76.1772727273
2010-08-01,76.6181818182
2010-09-01,75.2736363636
2010-10-01,81.9023809524
2010-11-01,84.1486363636
2010-12-01,89.3669565217
2011-01-01,89.5238095238
2011-02-01,89.414
2011-03-01,102.9356521739
2011-04-01,110.1476190476
2011-05-01,101.2990909091
2011-06-01,96.2886363636
2011-07-01,97.0780952381
2011-08-01,86.3343478261
2011-09-01,85.6481818182
2011-10-01,86.4119047619
2011-11-01,97.1090909091
2011-12-01,98.5668181818
2012-01-01,100.1022727273
2012-02-01,102.2971428571
2012-03-01,106.1872727273
2012-04-01,103.3257142857
2012-05-01,94.5347826087
2012-06-01,82.4004761905
2012-07-01,87.9190909091
2012-08-01,94.1182608696
2012-09-01,94.7045
2012-10-01,89.5965217391
2012-11-01,86.7209090909
2012-12-01,88.2628571429
2013-01-01,94.7295652174
2013-02-01,95.3095
2013-03-01,93.199047619
2013-04-01,92.0677272727
2013-05-01,94.7669565217
2013-06-01,95.7695
2013-07-01,104.4265217391
2013-08-01,106.4354545455
2013-09-01,106.3952380952
2013-10-01,100.5569565217
2013-11-01,93.850952381
2013-12-01,97.8904545455
2014-01-01,94.9630434783
2014-02-01,100.705
2014-03-01,100.5680952381
2014-04-01,102.175
2014-05-01,101.9963636364
2014-06-01,105.2347619048
2014-07-01,102.9482608696
2014-08-01,96.3171428571
2014-09-01,93.2718181818
2014-10-01,84.4060869565
2014-11-01,75.7075
2014-12-01,59.1395652174
2015-01-01,47.5572727273
2015-02-01,50.857
2015-03-01,47.7822727273
2015-04-01,54.3786363636
2015-05-01,59.3885714286
2015-06-01,59.8286363636
2015-07-01,51.1986956522
2015-08-01,42.9128571429
2015-09-01,45.51
2015-10-01,46.2686363636
2015-11-01,42.5852380952
2015-12-01,37.3960869565
2016-01-01,31.7842857143
2016-02-01,30.3776190476
2016-03-01,37.9017391304
2016-04-01,41.0319047619
2016-05-01,46.8418181818
2016-06-01,48.7918181818
2016-07-01,44.8961904762
2016-08-01,44.7517391304
2016-09-01,45.2
2016-10-01,49.8095238095
2016-11-01,45.4709090909
2016-12-01,52.0527272727
2017-01-01,52.5618181818
2017-02-01,53.45
2017-03-01,49.3630434783
2017-04-01,51.174
2017-05-01,48.5595652174
2017-06-01,45.1854545455
2017-07-01,46.5819047619
2017-08-01,48.047826087
2017-09-01,49.7357142857
2017-10-01,51.5731818182
2017-11-01,56.7381818182
2017-12-01,57.9204761905
2018-01-01,63.5847826087
2018-02-01,62.227
2018-03-01,62.8304545455
2018-04-01,66.3138095238
2018-05-01,69.8986956522
2018-06-01,67.8761904762
2018-07-01,71.0745454545
2018-08-01,67.9273913043
2018-09-01,70.1905
2018-10-01,70.7530434783
2018-11-01,56.1881818182
2018-12-01,48.919047619
2019-01-01,51.2273913043
2019-02-01,54.996
